experiment,benchmark,cpu,n_cpu_procs,gpu,n_gpus,compiler,maths_lib,fft_lib,time
cpu profiling,Fe 2x2x2,AMD EPYC Genoa 9654,1,,0,gfortran,openblas,fftw3,2522.52
cpu profiling,Fe 2x2x2,AMD EPYC Genoa 9654,16,,0,gfortran,openblas,fftw3,290.29
cpu profiling,Fe 2x2x2,AMD EPYC Genoa 9654,32,,0,gfortran,openblas,fftw3,194.14
cpu profiling,Fe 2x2x2,AMD EPYC Genoa 9654,64,,0,gfortran,openblas,fftw3,140.67
cpu profiling,Fe 2x2x2,AMD EPYC Genoa 9654,96,,0,gfortran,openblas,fftw3,77.6
cpu profiling,Fe 2x2x2,AMD EPYC Genoa 9654,96,,0,gfortran,openblas,fftw3,78.61
cpu profiling,Fe 2x2x2,AMD EPYC Genoa 9654,128,,0,gfortran,openblas,fftw3,65.31
cpu profiling,Fe 2x2x2,AMD EPYC Genoa 9654,160,,0,gfortran,openblas,fftw3,62.13
cpu profiling,Fe 2x2x2,AMD EPYC Genoa 9654,192,,0,gfortran,openblas,fftw3,42.14
cpu profiling,Fe 2x2x2,AMD EPYC Milan 7543P,1,,0,gfortran,Cray LibSci,fftw3,2753.08
cpu profiling,Fe 2x2x2,AMD EPYC Milan 7543P,2,,0,gfortran,Cray LibSci,fftw3,2407.06
cpu profiling,Fe 2x2x2,AMD EPYC Milan 7543P,4,,0,gfortran,Cray LibSci,fftw3,1331.37
cpu profiling,Fe 2x2x2,AMD EPYC Milan 7543P,8,,0,gfortran,Cray LibSci,fftw3,885.64
cpu profiling,Fe 2x2x2,AMD EPYC Milan 7543P,8,,0,gfortran,Cray LibSci,fftw3,890.23
cpu profiling,Fe 2x2x2,AMD EPYC Milan 7543P,16,,0,gfortran,Cray LibSci,fftw3,755.38
cpu profiling,Fe 2x2x2,AMD EPYC Milan 7543P,16,,0,gfortran,Cray LibSci,fftw3,758.13
cpu profiling,Fe 2x2x2,AMD EPYC Milan 7543P,16,,0,gfortran,Cray LibSci,fftw3,753.65
cpu profiling,Fe 2x2x2,AMD EPYC Milan 7543P,24,,0,gfortran,Cray LibSci,fftw3,423.32
cpu profiling,Fe 2x2x2,AMD EPYC Milan 7543P,32,,0,gfortran,Cray LibSci,fftw3,395.5
cpu profiling,Fe 2x2x2,NVIDIA Grace,1,,0,gfortran,openblas,fftw3,4033.05
cpu profiling,Fe 2x2x2,NVIDIA Grace,9,,0,gfortran,openblas,fftw3,579.64
cpu profiling,Fe 2x2x2,NVIDIA Grace,16,,0,gfortran,openblas,fftw3,309.19
cpu profiling,Fe 2x2x2,NVIDIA Grace,24,,0,gfortran,openblas,fftw3,205.96
cpu profiling,Fe 2x2x2,NVIDIA Grace,32,,0,gfortran,openblas,fftw3,172
cpu profiling,Fe 2x2x2,NVIDIA Grace,32,,0,gfortran,openblas,fftw3,171.21
cpu profiling,Fe 2x2x2,NVIDIA Grace,48,,0,gfortran,openblas,fftw3,135.89
cpu profiling,Fe 2x2x2,NVIDIA Grace,48,,0,gfortran,openblas,fftw3,136.6
cpu profiling,Fe 2x2x2,NVIDIA Grace,64,,0,gfortran,openblas,fftw3,139.85
cpu profiling,Fe 2x2x2,Intel Xeon (Emerald Rapids) 6530,1,,0,gfortran,openblas,fftw3,1999.27
cpu profiling,Fe 2x2x2,Intel Xeon (Emerald Rapids) 6530,8,,0,gfortran,openblas,fftw3,314.75
cpu profiling,Fe 2x2x2,Intel Xeon (Emerald Rapids) 6530,16,,0,gfortran,openblas,fftw3,248.85
cpu profiling,Fe 2x2x2,Intel Xeon (Emerald Rapids) 6530,16,,0,gfortran,openblas,fftw3,272.31
cpu profiling,Fe 2x2x2,Intel Xeon (Emerald Rapids) 6530,32,,0,gfortran,openblas,fftw3,153.5
cpu profiling,Fe 2x2x2,Intel Xeon (Emerald Rapids) 6530,32,,0,gfortran,openblas,fftw3,152.62
cpu profiling,Fe 2x2x2,Intel Xeon (Emerald Rapids) 6530,32,,0,gfortran,openblas,fftw3,153.08
cpu profiling,Fe 2x2x2,Intel Xeon (Emerald Rapids) 6530,56,,0,gfortran,openblas,fftw3,97.11
cpu profiling,Fe 2x2x2,Intel Xeon (Emerald Rapids) 6530,64,,0,gfortran,openblas,fftw3,96.91
cpu profiling,Fe 2x2x2,Intel Xeon (Sapphire Rapids) 6430,1,,0,gfortran,openblas,fftw3,2505.38
cpu profiling,Fe 2x2x2,Intel Xeon (Sapphire Rapids) 6430,8,,0,gfortran,openblas,fftw3,374.08
cpu profiling,Fe 2x2x2,Intel Xeon (Sapphire Rapids) 6430,16,,0,gfortran,openblas,fftw3,237.33
cpu profiling,Fe 2x2x2,Intel Xeon (Sapphire Rapids) 6430,16,,0,gfortran,openblas,fftw3,262.34
cpu profiling,Fe 2x2x2,Intel Xeon (Sapphire Rapids) 6430,32,,0,gfortran,openblas,fftw3,182.02
cpu profiling,Fe 2x2x2,Intel Xeon (Sapphire Rapids) 6430,32,,0,gfortran,openblas,fftw3,182.32
cpu profiling,Fe 2x2x2,Intel Xeon (Sapphire Rapids) 6430,32,,0,gfortran,openblas,fftw3,181.91
cpu profiling,Fe 2x2x2,Intel Xeon (Sapphire Rapids) 6430,56,,0,gfortran,openblas,fftw3,128.1
cpu profiling,Fe 2x2x2,Intel Xeon (Sapphire Rapids) 6430,64,,0,gfortran,openblas,fftw3,152.3
cpu profiling,Fe 2x2x2,Intel Xeon (Cascade Lake) 6248,1,,0,gfortran,openblas,fftw3,3031.79
